County,District,testAdministration,Subject,GradeLevel,StudentGroup,countMetStandardIncludingPP,PercentMetStandardIncludingPP
Grays Harbor County,Aberdeen School District,SBA,ELA,3,All,104,38.5
Grays Harbor County,Aberdeen School District,SBA,ELA,4,All,136,45.7
Grays Harbor County,Aberdeen School District,SBA,ELA,5,All,118,45.9
Grays Harbor County,Aberdeen School District,SBA,ELA,6,All,115,45.6
Grays Harbor County,Aberdeen School District,SBA,ELA,7,All,102,44.3
Grays Harbor County,Aberdeen School District,SBA,ELA,8,All,94,37.9
Grays Harbor County,Aberdeen School District,SBA,ELA,10,All,129,55.3
Grays Harbor County,Aberdeen School District,SBA,MATH,3,All,113,41.8
Grays Harbor County,Aberdeen School District,SBA,MATH,4,All,120,40.4
Grays Harbor County,Aberdeen School District,SBA,MATH,5,All,93,36.1
Grays Harbor County,Aberdeen School District,SBA,MATH,6,All,108,42.6
Grays Harbor County,Aberdeen School District,SBA,MATH,7,All,88,38.2
Grays Harbor County,Aberdeen School District,SBA,MATH,8,All,69,28
Grays Harbor County,Aberdeen School District,SBA,MATH,10,All,49,20.7
Lewis County,Adna School District,SBA,ELA,3,All,29,54.7
Lewis County,Adna School District,SBA,ELA,4,All,33,66
Lewis County,Adna School District,SBA,ELA,5,All,34,62.9
Lewis County,Adna School District,SBA,ELA,6,All,33,62.2
Lewis County,Adna School District,SBA,ELA,7,All,26,68.4
Lewis County,Adna School District,SBA,ELA,8,All,27,50.9
Lewis County,Adna School District,SBA,ELA,10,All,40,72.7
Lewis County,Adna School District,SBA,MATH,3,All,30,56.6
Lewis County,Adna School District,SBA,MATH,4,All,27,54
Lewis County,Adna School District,SBA,MATH,5,All,27,50
Lewis County,Adna School District,SBA,MATH,6,All,32,60.3
Lewis County,Adna School District,SBA,MATH,7,All,20,52.6
Lewis County,Adna School District,SBA,MATH,8,All,18,33.9
Lewis County,Adna School District,SBA,MATH,10,All,24,43.6
Lincoln County,Almira School District,SBA,ELA,3,All,,
Lincoln County,Almira School District,SBA,ELA,4,All,,
Lincoln County,Almira School District,SBA,ELA,5,All,,
Lincoln County,Almira School District,SBA,ELA,6,All,16,72.7
Lincoln County,Almira School District,SBA,ELA,7,All,15,83.3
Lincoln County,Almira School District,SBA,ELA,8,All,22,91.6
Lincoln County,Almira School District,SBA,MATH,3,All,,
Lincoln County,Almira School District,SBA,MATH,4,All,,
Lincoln County,Almira School District,SBA,MATH,5,All,,
Lincoln County,Almira School District,SBA,MATH,6,All,15,68.1
Lincoln County,Almira School District,SBA,MATH,7,All,10,55.5
Lincoln County,Almira School District,SBA,MATH,8,All,22,91.6
Skagit County,Anacortes School District,SBA,ELA,3,All,128,61.2
Skagit County,Anacortes School District,SBA,ELA,4,All,158,71.8
Skagit County,Anacortes School District,SBA,ELA,5,All,159,75.7
Skagit County,Anacortes School District,SBA,ELA,6,All,144,69.5
Skagit County,Anacortes School District,SBA,ELA,7,All,167,74.8
Skagit County,Anacortes School District,SBA,ELA,8,All,120,65.9
Skagit County,Anacortes School District,SBA,ELA,10,All,173,83.5
Skagit County,Anacortes School District,SBA,MATH,3,All,144,68.8
Skagit County,Anacortes School District,SBA,MATH,4,All,156,70.9
Skagit County,Anacortes School District,SBA,MATH,5,All,142,67.6
Skagit County,Anacortes School District,SBA,MATH,6,All,135,65.2
Skagit County,Anacortes School District,SBA,MATH,7,All,145,65.6
Skagit County,Anacortes School District,SBA,MATH,8,All,107,58.7
Skagit County,Anacortes School District,SBA,MATH,10,All,114,55
Snohomish County,Arlington School District,SBA,ELA,3,All,237,57.5
Snohomish County,Arlington School District,SBA,ELA,4,All,254,63.6
Snohomish County,Arlington School District,SBA,ELA,5,All,292,65.4
Snohomish County,Arlington School District,SBA,ELA,6,All,226,56.5
Snohomish County,Arlington School District,SBA,ELA,7,All,275,62.2
Snohomish County,Arlington School District,SBA,ELA,8,All,280,64.8
Snohomish County,Arlington School District,SBA,ELA,10,All,317,74.2
Snohomish County,Arlington School District,SBA,MATH,3,All,254,61.9
Snohomish County,Arlington School District,SBA,MATH,4,All,233,58.5
Snohomish County,Arlington School District,SBA,MATH,5,All,235,52.8
Snohomish County,Arlington School District,SBA,MATH,6,All,191,47.7
Snohomish County,Arlington School District,SBA,MATH,7,All,192,43.4
Snohomish County,Arlington School District,SBA,MATH,8,All,187,43.2
Snohomish County,Arlington School District,SBA,MATH,10,All,188,43.9
Asotin County,Asotin-Anatone School District,SBA,ELA,3,All,30,71.4
Asotin County,Asotin-Anatone School District,SBA,ELA,4,All,40,72.7
Asotin County,Asotin-Anatone School District,SBA,ELA,5,All,,
Asotin County,Asotin-Anatone School District,SBA,ELA,6,All,31,70.4
Asotin County,Asotin-Anatone School District,SBA,ELA,7,All,29,56.8
Asotin County,Asotin-Anatone School District,SBA,ELA,8,All,39,63.9
Asotin County,Asotin-Anatone School District,SBA,ELA,10,All,33,73.3
Asotin County,Asotin-Anatone School District,SBA,MATH,3,All,31,73.8
Asotin County,Asotin-Anatone School District,SBA,MATH,4,All,32,58.1
Asotin County,Asotin-Anatone School District,SBA,MATH,5,All,,
Asotin County,Asotin-Anatone School District,SBA,MATH,6,All,26,59
Asotin County,Asotin-Anatone School District,SBA,MATH,7,All,27,52.9
Asotin County,Asotin-Anatone School District,SBA,MATH,8,All,43,70.4
Asotin County,Asotin-Anatone School District,SBA,MATH,10,All,24,53.3
King County,Auburn School District,SBA,ELA,3,All,751,57
King County,Auburn School District,SBA,ELA,4,All,773,59.1
King County,Auburn School District,SBA,ELA,5,All,759,59.8
King County,Auburn School District,SBA,ELA,6,All,584,49.4
King County,Auburn School District,SBA,ELA,7,All,581,48.9
King County,Auburn School District,SBA,ELA,8,All,567,49.7
King County,Auburn School District,SBA,ELA,10,All,807,65.3
King County,Auburn School District,SBA,MATH,3,All,812,61.5
King County,Auburn School District,SBA,MATH,4,All,787,60.2
King County,Auburn School District,SBA,MATH,5,All,741,58.5
King County,Auburn School District,SBA,MATH,6,All,564,47.7
King County,Auburn School District,SBA,MATH,7,All,490,41.2
King County,Auburn School District,SBA,MATH,8,All,439,38.4
King County,Auburn School District,SBA,MATH,10,All,411,33.2
Kitsap County,Bainbridge Island School District,SBA,ELA,3,All,184,81.7
Kitsap County,Bainbridge Island School District,SBA,ELA,4,All,231,79.6
Kitsap County,Bainbridge Island School District,SBA,ELA,5,All,242,86.4
Kitsap County,Bainbridge Island School District,SBA,ELA,6,All,226,81.5
Kitsap County,Bainbridge Island School District,SBA,ELA,7,All,263,87.9
Kitsap County,Bainbridge Island School District,SBA,ELA,8,All,243,74.3
Kitsap County,Bainbridge Island School District,SBA,ELA,10,All,323,89.2
Kitsap County,Bainbridge Island School District,SBA,MATH,3,All,189,84
Kitsap County,Bainbridge Island School District,SBA,MATH,4,All,231,79.6
Kitsap County,Bainbridge Island School District,SBA,MATH,5,All,222,79.2
Kitsap County,Bainbridge Island School District,SBA,MATH,6,All,207,74.7
Kitsap County,Bainbridge Island School District,SBA,MATH,7,All,231,77.2
Kitsap County,Bainbridge Island School District,SBA,MATH,8,All,223,68.1
Kitsap County,Bainbridge Island School District,SBA,MATH,10,All,266,73.4
Pierce County,Bates Technical College,SBA,ELA,10,All,,
Pierce County,Bates Technical College,SBA,MATH,10,All,,
Clark County,Battle Ground School District,SBA,ELA,3,All,477,56
Clark County,Battle Ground School District,SBA,ELA,4,All,612,57.9
Clark County,Battle Ground School District,SBA,ELA,5,All,536,54.5
Clark County,Battle Ground School District,SBA,ELA,6,All,550,55.1
Clark County,Battle Ground School District,SBA,ELA,7,All,621,61.2
Clark County,Battle Ground School District,SBA,ELA,8,All,600,60.3
Clark County,Battle Ground School District,SBA,ELA,10,All,793,69.9
Clark County,Battle Ground School District,SBA,MATH,3,All,507,59.7
Clark County,Battle Ground School District,SBA,MATH,4,All,565,53.5
Clark County,Battle Ground School District,SBA,MATH,5,All,396,40.3
Clark County,Battle Ground School District,SBA,MATH,6,All,452,45.4
Clark County,Battle Ground School District,SBA,MATH,7,All,471,46.4
Clark County,Battle Ground School District,SBA,MATH,8,All,503,50.6
Clark County,Battle Ground School District,SBA,MATH,10,All,460,40.8
King County,Bellevue School District,SBA,ELA,3,All,1148,73.4
King County,Bellevue School District,SBA,ELA,4,All,1124,76.1
King County,Bellevue School District,SBA,ELA,5,All,1195,77.2
King County,Bellevue School District,SBA,ELA,6,All,1165,75.7
King County,Bellevue School District,SBA,ELA,7,All,1190,78.4
King County,Bellevue School District,SBA,ELA,8,All,1260,81.6
King County,Bellevue School District,SBA,ELA,10,All,1389,84.3
King County,Bellevue School District,SBA,MATH,3,All,1194,76
King County,Bellevue School District,SBA,MATH,4,All,1118,74.8
King County,Bellevue School District,SBA,MATH,5,All,1102,71.2
King County,Bellevue School District,SBA,MATH,6,All,1091,70.8
King County,Bellevue School District,SBA,MATH,7,All,1130,74.1
King County,Bellevue School District,SBA,MATH,8,All,1145,73.8
King County,Bellevue School District,SBA,MATH,10,All,1229,74.5
Whatcom County,Bellingham School District,SBA,ELA,3,All,410,47.7
Whatcom County,Bellingham School District,SBA,ELA,4,All,489,55.7
Whatcom County,Bellingham School District,SBA,ELA,5,All,460,59.3
Whatcom County,Bellingham School District,SBA,ELA,6,All,527,58.8
Whatcom County,Bellingham School District,SBA,ELA,7,All,574,65.6
Whatcom County,Bellingham School District,SBA,ELA,8,All,570,71
Whatcom County,Bellingham School District,SBA,ELA,10,All,693,78
Whatcom County,Bellingham School District,SBA,MATH,3,All,411,47.9
Whatcom County,Bellingham School District,SBA,MATH,4,All,447,51
Whatcom County,Bellingham School District,SBA,MATH,5,All,363,46.9
Whatcom County,Bellingham School District,SBA,MATH,6,All,444,49.5
Whatcom County,Bellingham School District,SBA,MATH,7,All,477,54.6
Whatcom County,Bellingham School District,SBA,MATH,8,All,435,54.4
Whatcom County,Bellingham School District,SBA,MATH,10,All,472,53.2
Pierce County,Bethel School District,SBA,ELA,3,All,927,58.6
Pierce County,Bethel School District,SBA,ELA,4,All,937,61.2
Pierce County,Bethel School District,SBA,ELA,5,All,967,60.2
Pierce County,Bethel School District,SBA,ELA,6,All,761,50
Pierce County,Bethel School District,SBA,ELA,7,All,754,53.1
Pierce County,Bethel School District,SBA,ELA,8,All,743,53.7
Pierce County,Bethel School District,SBA,ELA,10,All,813,61.6
Pierce County,Bethel School District,SBA,MATH,3,All,970,61.5
Pierce County,Bethel School District,SBA,MATH,4,All,880,57.4
Pierce County,Bethel School District,SBA,MATH,5,All,825,51.4
Pierce County,Bethel School District,SBA,MATH,6,All,616,40.5
Pierce County,Bethel School District,SBA,MATH,7,All,513,36.1
Pierce County,Bethel School District,SBA,MATH,8,All,536,38.9
Pierce County,Bethel School District,SBA,MATH,10,All,411,31.3
Klickitat County,Bickleton School District,SBA,ELA,3,All,,
Klickitat County,Bickleton School District,SBA,ELA,4,All,,
Klickitat County,Bickleton School District,SBA,ELA,5,All,,
Klickitat County,Bickleton School District,SBA,ELA,6,All,,
Klickitat County,Bickleton School District,SBA,ELA,7,All,,
Klickitat County,Bickleton School District,SBA,ELA,8,All,7,70
Klickitat County,Bickleton School District,SBA,ELA,10,All,,
Klickitat County,Bickleton School District,SBA,MATH,3,All,,
Klickitat County,Bickleton School District,SBA,MATH,4,All,,
Klickitat County,Bickleton School District,SBA,MATH,5,All,,
Klickitat County,Bickleton School District,SBA,MATH,6,All,,
Klickitat County,Bickleton School District,SBA,MATH,7,All,8,61.5
Klickitat County,Bickleton School District,SBA,MATH,8,All,8,80
Klickitat County,Bickleton School District,SBA,MATH,10,All,,
Whatcom County,Blaine School District,SBA,ELA,3,All,76,44.9
Whatcom County,Blaine School District,SBA,ELA,4,All,89,52
Whatcom County,Blaine School District,SBA,ELA,5,All,104,59
Whatcom County,Blaine School District,SBA,ELA,6,All,80,45.1
Whatcom County,Blaine School District,SBA,ELA,7,All,99,55.9
Whatcom County,Blaine School District,SBA,ELA,8,All,90,58.4
Whatcom County,Blaine School District,SBA,ELA,10,All,130,73
Whatcom County,Blaine School District,SBA,MATH,3,All,81,47.9
Whatcom County,Blaine School District,SBA,MATH,4,All,97,56.7
Whatcom County,Blaine School District,SBA,MATH,5,All,102,58.2
Whatcom County,Blaine School District,SBA,MATH,6,All,69,38.9
Whatcom County,Blaine School District,SBA,MATH,7,All,89,50.2
Whatcom County,Blaine School District,SBA,MATH,8,All,70,45.7
Whatcom County,Blaine School District,SBA,MATH,10,All,76,42.9
Lewis County,Boistfort School District,SBA,ELA,3,All,7,50
Lewis County,Boistfort School District,SBA,ELA,4,All,,
Lewis County,Boistfort School District,SBA,ELA,5,All,6,60
Lewis County,Boistfort School District,SBA,ELA,6,All,,
Lewis County,Boistfort School District,SBA,ELA,7,All,,
Lewis County,Boistfort School District,SBA,ELA,8,All,,
Lewis County,Boistfort School District,SBA,MATH,3,All,6,42.8
Lewis County,Boistfort School District,SBA,MATH,4,All,,
Lewis County,Boistfort School District,SBA,MATH,5,All,3,30
Lewis County,Boistfort School District,SBA,MATH,6,All,,
Lewis County,Boistfort School District,SBA,MATH,7,All,,
Lewis County,Boistfort School District,SBA,MATH,8,All,,
Kitsap County,Bremerton School District,SBA,ELA,3,All,210,53.7
Kitsap County,Bremerton School District,SBA,ELA,4,All,213,48.7
Kitsap County,Bremerton School District,SBA,ELA,5,All,199,49.6
Kitsap County,Bremerton School District,SBA,ELA,6,All,160,43.7
Kitsap County,Bremerton School District,SBA,ELA,7,All,141,41.5
Kitsap County,Bremerton School District,SBA,ELA,8,All,147,45.7
Kitsap County,Bremerton School District,SBA,ELA,10,All,193,62.6
Kitsap County,Bremerton School District,SBA,MATH,3,All,205,52.4
Kitsap County,Bremerton School District,SBA,MATH,4,All,189,43
Kitsap County,Bremerton School District,SBA,MATH,5,All,163,40.6
Kitsap County,Bremerton School District,SBA,MATH,6,All,129,35.6
Kitsap County,Bremerton School District,SBA,MATH,7,All,117,34.3
Kitsap County,Bremerton School District,SBA,MATH,8,All,97,30
Kitsap County,Bremerton School District,SBA,MATH,10,All,66,21.9
Okanogan County,Brewster School District,SBA,ELA,3,All,28,32.5
Okanogan County,Brewster School District,SBA,ELA,4,All,25,32.8
Okanogan County,Brewster School District,SBA,ELA,5,All,25,34.2
Okanogan County,Brewster School District,SBA,ELA,6,All,29,38.1
Okanogan County,Brewster School District,SBA,ELA,7,All,34,50.7
Okanogan County,Brewster School District,SBA,ELA,8,All,25,34.7
Okanogan County,Brewster School District,SBA,ELA,10,All,36,50.7
Okanogan County,Brewster School District,SBA,MATH,3,All,35,40.6
Okanogan County,Brewster School District,SBA,MATH,4,All,27,35.5
Okanogan County,Brewster School District,SBA,MATH,5,All,11,15
Okanogan County,Brewster School District,SBA,MATH,6,All,18,23.6
Okanogan County,Brewster School District,SBA,MATH,7,All,25,37.3
Okanogan County,Brewster School District,SBA,MATH,8,All,17,23.2
Okanogan County,Brewster School District,SBA,MATH,10,All,11,15.4
Douglas County,Bridgeport School District,SBA,ELA,3,All,10,16.9
Douglas County,Bridgeport School District,SBA,ELA,4,All,25,28
Douglas County,Bridgeport School District,SBA,ELA,5,All,15,21.7
Douglas County,Bridgeport School District,SBA,ELA,6,All,8,12.1
Douglas County,Bridgeport School District,SBA,ELA,7,All,15,26.3
Douglas County,Bridgeport School District,SBA,ELA,8,All,20,33.3
Douglas County,Bridgeport School District,SBA,ELA,10,All,37,56.9
Douglas County,Bridgeport School District,SBA,MATH,3,All,11,18.6
Douglas County,Bridgeport School District,SBA,MATH,4,All,26,29.2
Douglas County,Bridgeport School District,SBA,MATH,5,All,10,14.4
Douglas County,Bridgeport School District,SBA,MATH,6,All,4,6
Douglas County,Bridgeport School District,SBA,MATH,7,All,10,17.5
Douglas County,Bridgeport School District,SBA,MATH,8,All,17,28.3
Douglas County,Bridgeport School District,SBA,MATH,10,All,14,21.5
Jefferson County,Brinnon School District,SBA,ELA,3,All,,
Jefferson County,Brinnon School District,SBA,ELA,4,All,,
Jefferson County,Brinnon School District,SBA,ELA,5,All,,
Jefferson County,Brinnon School District,SBA,ELA,6,All,,
Jefferson County,Brinnon School District,SBA,ELA,7,All,,
Jefferson County,Brinnon School District,SBA,ELA,8,All,,
Jefferson County,Brinnon School District,SBA,MATH,3,All,,
Jefferson County,Brinnon School District,SBA,MATH,4,All,,
Jefferson County,Brinnon School District,SBA,MATH,5,All,,
Jefferson County,Brinnon School District,SBA,MATH,6,All,,
