County,District,School,testAdministration,Subject,GradeLevel,StudentGroup,countMetStandardIncludingPP,PercentMetStandardIncludingPP
Snohomish County,Marysville School District,10th Street School,SBA,ELA,6,All,,
Snohomish County,Marysville School District,10th Street School,SBA,ELA,7,All,,
Snohomish County,Marysville School District,10th Street School,SBA,ELA,8,All,34,58.6
Snohomish County,Marysville School District,10th Street School,SBA,MATH,6,All,,
Snohomish County,Marysville School District,10th Street School,SBA,MATH,7,All,,
Snohomish County,Marysville School District,10th Street School,SBA,MATH,8,All,26,44.8
Clark County,Evergreen School District (Clark),49th Street Academy,SBA,ELA,10,All,,
Clark County,Evergreen School District (Clark),49th Street Academy,SBA,ELA,3,All,,
Clark County,Evergreen School District (Clark),49th Street Academy,SBA,ELA,4,All,,
Clark County,Evergreen School District (Clark),49th Street Academy,SBA,ELA,5,All,,
Clark County,Evergreen School District (Clark),49th Street Academy,SBA,ELA,6,All,,
Clark County,Evergreen School District (Clark),49th Street Academy,SBA,ELA,7,All,,
Clark County,Evergreen School District (Clark),49th Street Academy,SBA,ELA,8,All,,
Clark County,Evergreen School District (Clark),49th Street Academy,SBA,MATH,10,All,,
Clark County,Evergreen School District (Clark),49th Street Academy,SBA,MATH,3,All,,
Clark County,Evergreen School District (Clark),49th Street Academy,SBA,MATH,4,All,,
Clark County,Evergreen School District (Clark),49th Street Academy,SBA,MATH,5,All,,
Clark County,Evergreen School District (Clark),49th Street Academy,SBA,MATH,6,All,,
Clark County,Evergreen School District (Clark),49th Street Academy,SBA,MATH,7,All,,
Clark County,Evergreen School District (Clark),49th Street Academy,SBA,MATH,8,All,,
Thurston County,Tumwater School District,A G West Black Hills High School,SBA,ELA,10,All,,
Thurston County,Tumwater School District,A G West Black Hills High School,SBA,MATH,10,All,,
Grays Harbor County,Aberdeen School District,A J West Elementary,SBA,ELA,3,All,20,27.7
Grays Harbor County,Aberdeen School District,A J West Elementary,SBA,ELA,4,All,13,25.4
Grays Harbor County,Aberdeen School District,A J West Elementary,SBA,ELA,5,All,25,40.9
Grays Harbor County,Aberdeen School District,A J West Elementary,SBA,ELA,6,All,20,37.7
Grays Harbor County,Aberdeen School District,A J West Elementary,SBA,MATH,3,All,25,34.7
Grays Harbor County,Aberdeen School District,A J West Elementary,SBA,MATH,4,All,15,29.4
Grays Harbor County,Aberdeen School District,A J West Elementary,SBA,MATH,5,All,15,24.5
Grays Harbor County,Aberdeen School District,A J West Elementary,SBA,MATH,6,All,17,32
,,A-3 Multiagency Adolescent Prog,SBA,ELA,10,All,,
,,A-3 Multiagency Adolescent Prog,SBA,ELA,7,All,,
,,A-3 Multiagency Adolescent Prog,SBA,ELA,8,All,,
,,A-3 Multiagency Adolescent Prog,SBA,MATH,10,All,,
,,A-3 Multiagency Adolescent Prog,SBA,MATH,7,All,,
,,A-3 Multiagency Adolescent Prog,SBA,MATH,8,All,,
Chelan County,Wenatchee School District,Abraham Lincoln Elementary,SBA,ELA,3,All,30,34
Chelan County,Wenatchee School District,Abraham Lincoln Elementary,SBA,ELA,4,All,23,24.7
Chelan County,Wenatchee School District,Abraham Lincoln Elementary,SBA,ELA,5,All,35,39.3
Chelan County,Wenatchee School District,Abraham Lincoln Elementary,SBA,MATH,3,All,40,45.4
Chelan County,Wenatchee School District,Abraham Lincoln Elementary,SBA,MATH,4,All,17,18.8
Chelan County,Wenatchee School District,Abraham Lincoln Elementary,SBA,MATH,5,All,19,21.3
,,Acceleration Academy,SBA,ELA,10,All,,
,,Acceleration Academy,SBA,MATH,10,All,,
Snohomish County,Mukilteo School District,ACES High School,SBA,ELA,10,All,,
Snohomish County,Mukilteo School District,ACES High School,SBA,MATH,10,All,,
Whatcom County,Mount Baker School District,Acme Elementary,SBA,ELA,3,All,,
Whatcom County,Mount Baker School District,Acme Elementary,SBA,ELA,4,All,,
Whatcom County,Mount Baker School District,Acme Elementary,SBA,ELA,5,All,,
Whatcom County,Mount Baker School District,Acme Elementary,SBA,ELA,6,All,,
Whatcom County,Mount Baker School District,Acme Elementary,SBA,MATH,3,All,,
Whatcom County,Mount Baker School District,Acme Elementary,SBA,MATH,4,All,,
Whatcom County,Mount Baker School District,Acme Elementary,SBA,MATH,5,All,,
Whatcom County,Mount Baker School District,Acme Elementary,SBA,MATH,6,All,,
Spokane County,Central Valley School District,Adams Elementary,SBA,ELA,3,All,40,56.3
Spokane County,Spokane School District,Adams Elementary,SBA,ELA,3,All,19,39.5
Yakima County,Wapato School District,Adams Elementary,SBA,ELA,3,All,9,21.9
Spokane County,Central Valley School District,Adams Elementary,SBA,ELA,4,All,32,41
Spokane County,Spokane School District,Adams Elementary,SBA,ELA,4,All,24,46.1
Yakima County,Wapato School District,Adams Elementary,SBA,ELA,4,All,18,33.3
Spokane County,Central Valley School District,Adams Elementary,SBA,ELA,5,All,26,30.9
Spokane County,Spokane School District,Adams Elementary,SBA,ELA,5,All,34,69.3
Yakima County,Wapato School District,Adams Elementary,SBA,ELA,5,All,17,32
Spokane County,Spokane School District,Adams Elementary,SBA,ELA,6,All,34,65.3
Spokane County,Central Valley School District,Adams Elementary,SBA,MATH,3,All,38,53.5
Spokane County,Spokane School District,Adams Elementary,SBA,MATH,3,All,22,45.8
Yakima County,Wapato School District,Adams Elementary,SBA,MATH,3,All,12,29.2
Spokane County,Central Valley School District,Adams Elementary,SBA,MATH,4,All,24,30.7
Spokane County,Spokane School District,Adams Elementary,SBA,MATH,4,All,18,34.6
Yakima County,Wapato School District,Adams Elementary,SBA,MATH,4,All,22,40.7
Spokane County,Central Valley School District,Adams Elementary,SBA,MATH,5,All,24,28.5
Spokane County,Spokane School District,Adams Elementary,SBA,MATH,5,All,22,44.8
Yakima County,Wapato School District,Adams Elementary,SBA,MATH,5,All,13,24.5
Spokane County,Spokane School District,Adams Elementary,SBA,MATH,6,All,25,48
King County,Seattle Public Schools,Adams Elementary School,SBA,ELA,3,All,70,77.7
Yakima County,Yakima School District,Adams Elementary School,SBA,ELA,3,All,19,18.4
King County,Seattle Public Schools,Adams Elementary School,SBA,ELA,4,All,71,73.9
Yakima County,Yakima School District,Adams Elementary School,SBA,ELA,4,All,30,28
King County,Seattle Public Schools,Adams Elementary School,SBA,ELA,5,All,62,80.5
Yakima County,Yakima School District,Adams Elementary School,SBA,ELA,5,All,42,31.3
King County,Seattle Public Schools,Adams Elementary School,SBA,MATH,3,All,67,74.4
Yakima County,Yakima School District,Adams Elementary School,SBA,MATH,3,All,48,44
King County,Seattle Public Schools,Adams Elementary School,SBA,MATH,4,All,59,60.8
Yakima County,Yakima School District,Adams Elementary School,SBA,MATH,4,All,41,38.3
King County,Seattle Public Schools,Adams Elementary School,SBA,MATH,5,All,42,54.5
Yakima County,Yakima School District,Adams Elementary School,SBA,MATH,5,All,35,26.1
King County,Federal Way School District,Adelaide Elementary School,SBA,ELA,3,All,26,38.8
King County,Federal Way School District,Adelaide Elementary School,SBA,ELA,4,All,25,36.7
King County,Federal Way School District,Adelaide Elementary School,SBA,ELA,5,All,32,49.2
King County,Federal Way School District,Adelaide Elementary School,SBA,MATH,3,All,30,44.7
King County,Federal Way School District,Adelaide Elementary School,SBA,MATH,4,All,27,39.7
